,GOTSeason,GOTCharacter,OverallCount,NeutralCount,PositiveCount,NegativeCount
845,Season4,tortured,-0.313095238095,7,2,2
846,Season4,baelor,3.94545454545,2,9,1
847,Season1,dongo,2.93636363636,12,8,0
848,Season6,shiera,0.0,6,0,0
849,Season4,aenys,1.00666666667,2,2,2
850,Season5,barristan,-2.64047619048,20,11,15
851,Season5,hugh,4.25776515152,14,11,0
852,Season5,leaf,0.657765151515,5,3,1
853,Season1,master,24.2985606061,50,60,28
854,Season1,arthur,0.0,8,0,0
855,Season3,rast,4.81550108225,110,61,50
856,Season3,stannis,-1.97470779221,28,21,24
857,Season6,harys,0.0,2,0,0
858,Season4,monica,-0.133333333333,3,0,1
859,Season5,summer,30.040762987,224,127,59
860,Season2,baelish,0.0,8,0,0
861,Season3,rorge,0.0,1,0,0
862,Season6,roose,0.0,5,0,0
863,Season5,barra,1.69137806638,125,17,11
864,Season5,donnell,0.0,3,0,0
865,Season5,billy,-0.4,4,0,4
866,Season2,thenn,-0.3,4,2,2
867,Season2,crane,0.0,2,0,0
868,Season3,harren,0.25,4,3,1
869,Season3,garth,1.2875,2,2,1
870,Season4,osha,0.886363636364,15,5,5
871,Season4,erryk,0.636363636364,0,2,0
872,Season4,dontos,-0.3875,1,0,2
873,Season1,kyra,-1.0,0,0,2
874,Season3,lyman,0.0,2,0,0
875,Season6,jojen,0.0,5,0,0
876,Season6,trystane,0.0,1,0,0
877,Season5,doran,-0.4,12,1,1
878,Season2,copper,0.0,2,0,0
879,Season6,lann,110.24083553,1998,497,296
880,Season4,jack,15.7074071068,66,62,21
881,Season1,savo,0.05,2,2,2
882,Season1,harker,0.0,2,0,0
883,Season2,tickler,-0.933333333333,4,0,2
884,Season3,beast,25.9514321789,317,76,21
885,Season3,water,30.315247114,139,127,54
886,Season3,ramsay,-2.16458333333,35,10,14
887,Season3,cressen,0.5,0,1,0
888,Season3,nymeria,-0.527083333333,5,0,2
889,Season6,wun,2.69544372294,57,16,12
890,Season6,eddard,0.622348484848,27,6,6
891,Season6,durran,0.0,3,0,0
892,Season4,gregor,1.72083333333,12,4,1
893,Season5,despondent,0.516666666667,2,2,0
894,Season1,ray,51.0864846681,204,200,98
895,Season3,aerys,22.8928823954,118,84,30
896,Season5,silver,1.44258658009,40,11,11
897,Season2,three,39.6177651515,164,198,95
898,Season3,grey,4.70097415481,173,100,101
899,Season3,drogo,9.34554473304,90,46,20
900,Season3,britt,1.07272727273,29,5,1
901,Season6,robin,3.50588924964,22,14,6
902,Season5,mace,0.538888888889,6,4,2
903,Season1,balon,-1.9,6,2,6
904,Season3,,13328.1121072,141651,67068,41434
905,Season3,baratheon,-0.444204545455,43,13,21
906,Season3,wex,-0.5,5,0,1
907,Season5,arson,-0.563636363636,9,2,3
908,Season5,erik,3.26869047619,33,9,3
909,Season1,mira,3.4,118,8,6
910,Season6,lomas,0.5,0,2,0
911,Season6,rickard,20.5,1,41,0
912,Season5,soldier,0.816666666667,10,6,5
913,Season6,lysa,1.03333333333,13,4,3
914,Season6,martyn,0.0,1,0,0
915,Season4,bones,6.27664141414,38,25,10
916,Season4,joanna,0.5,0,1,0
917,Season1,viserys,3.6,16,10,2
918,Season1,lyanna,1.0,0,2,0
919,Season1,damon,0.0,2,0,0
